Id,Machine failure
136429,0.02
136430,0.0
136431,0.02
136432,0.03
136433,0.03
136434,0.02
136435,0.03
136436,0.03
136437,0.0
136438,0.0
136439,0.02
136440,0.02
136441,0.0
136442,0.01
136443,0.01
136444,0.04
136445,0.0
136446,0.05
136447,0.01
136448,0.01
136449,0.04
136450,0.03
136451,0.05
136452,0.06
136453,0.03
136454,0.01
136455,0.0
136456,0.04
136457,0.04
136458,0.03
136459,0.03
136460,0.03
136461,0.01
136462,0.07
136463,0.02
136464,0.02
136465,0.0
136466,0.0
136467,0.0
136468,0.03
136469,0.0
136470,0.02
136471,0.05
136472,0.04
136473,0.01
136474,0.01
136475,0.03
136476,0.05
136477,0.02
136478,0.01
136479,0.0
136480,0.03
136481,0.02
136482,0.08
136483,0.03
136484,0.0
136485,0.01
136486,0.01
136487,0.0
136488,0.04
136489,0.0
136490,0.07
136491,0.03
136492,0.01
136493,0.03
136494,0.0
136495,0.02
136496,0.03
136497,0.01
136498,0.04
136499,0.01
136500,0.0
136501,0.0
136502,0.03
136503,0.03
136504,0.0
136505,0.0
136506,0.02
136507,0.0
136508,0.01
136509,0.04
136510,0.0
136511,0.05
136512,0.0
136513,0.04
136514,0.01
136515,0.03
136516,0.02
136517,0.01
136518,0.0
136519,0.03
136520,0.03
136521,0.0
136522,0.02
136523,0.0
136524,0.0
136525,0.04
136526,0.04
136527,0.04
136528,0.0
136529,0.04
136530,0.04
136531,0.02
136532,0.03
136533,0.03
136534,0.0
136535,0.01
136536,0.02
136537,0.0
136538,0.03
136539,0.0
136540,0.01
136541,0.0
136542,0.02
136543,0.03
136544,0.02
136545,0.02
136546,0.0
136547,0.01
136548,0.01
136549,0.02
136550,0.04
136551,0.0
136552,0.01
136553,0.01
136554,0.02
136555,0.05
136556,0.04
136557,0.02
136558,0.03
136559,0.02
136560,0.04
136561,0.04
136562,0.02
136563,0.02
136564,0.0
136565,0.05
136566,0.0
136567,0.03
136568,0.02
136569,0.03
136570,0.0
136571,0.05
136572,0.03
136573,0.0
136574,0.03
136575,0.0
136576,0.03
136577,0.03
136578,0.01
136579,0.04
136580,0.0
136581,0.01
136582,0.0
136583,0.0
136584,0.01
136585,0.03
136586,0.09
136587,0.0
136588,0.04
136589,0.02
136590,0.01
136591,0.04
136592,0.05
136593,0.04
136594,0.0
136595,0.01
136596,0.0
136597,0.0
136598,0.03
136599,0.02
136600,0.0
136601,0.05
136602,0.04
136603,0.03
136604,0.01
136605,0.04
136606,0.01
136607,0.03
136608,0.03
136609,0.04
136610,0.03
136611,0.0
136612,0.01
136613,0.01
136614,0.0
136615,0.0
136616,0.01
136617,0.04
136618,0.01
136619,0.0
136620,0.0
136621,0.01
136622,0.0
136623,0.0
136624,0.02
136625,0.02
136626,0.0
136627,0.02
136628,0.03
136629,0.0
136630,0.01
136631,0.04
136632,0.03
136633,0.0
136634,0.02
136635,0.04
136636,0.06
136637,0.02
136638,0.06
136639,0.04
136640,0.06
136641,0.0
136642,0.0
136643,0.08
136644,0.0
136645,0.0
136646,0.0
136647,0.04
136648,0.07
136649,0.0
136650,0.04
136651,0.0
136652,0.05
136653,0.01
136654,0.01
136655,0.03
136656,0.03
136657,0.02
136658,0.01
136659,0.01
136660,0.01
136661,0.03
136662,0.05
136663,0.01
136664,0.06
136665,0.0
136666,0.0
136667,0.06
136668,0.02
136669,0.02
